Stimulus;Initial group;Voice;CR/WR/V/Q;Textual agreement %;Audial agreement %;Textual agreement value;Audial agreement value;Experimental values (V-Neg/Q-Neg/C-Neg);Values;Experimental %;Experimental answer;Agrees with intended;Agrees with textual;Agrees with audial;Based on textual annotation, these are the groups
Leave work;C;2;WR;65%;75%;C;Q;C;5;23.81%;Q;No for intended;No for text;Yes for audio;C-Amb
Work life;C;2;WR;85%;50%;C;Q;V;1;4.76%;Q;No for intended;No for text;Yes for audio;C
Work life;C;2;WR;85%;50%;C;Q;Q;13;61.90%;Q;No for intended;No for text;Yes for audio;C
Work life;C;2;WR;85%;50%;C;Q;C;7;33.33%;Q;No for intended;No for text;Yes for audio;C
Apologize;C;2;WR;70%;50%;C;Q;V;4;14.81%;Q;No for intended;No for text;Yes for audio;C-Amb
Apologize;C;2;WR;70%;50%;C;Q;Q;14;51.85%;Q;No for intended;No for text;Yes for audio;C-Amb
Apologize;C;2;WR;70%;50%;C;Q;C;9;33.33%;Q;No for intended;No for text;Yes for audio;C-Amb
Activity;Q;1;CR;95%;77.77%;Q;NEG;V;1;4.76%;Q;Yes for intended;Yes for text;No for audio;Q
Activity;Q;1;CR;95%;77.77%;Q;NEG;Q;19;90.48%;Q;Yes for intended;Yes for text;No for audio;Q
Activity;Q;1;CR;95%;77.77%;Q;NEG;C;1;4.76%;Q;Yes for intended;Yes for text;No for audio;Q
Examples;Q;1;CR;95%;44.44%;Q;N;V;1;4.76%;Q;Yes for intended;Yes for text;No for audio;Q
Examples;Q;1;CR;95%;44.44%;Q;N;Q;19;90.48%;Q;Yes for intended;Yes for text;No for audio;Q
Examples;Q;1;CR;95%;44.44%;Q;N;C;1;4.76%;Q;Yes for intended;Yes for text;No for audio;Q
Laser;Q;1;CR;90%;44.44%;Q;VP;V;3;11.54%;Q;Yes for intended;Yes for text;No for audio;Q
Laser;Q;1;CR;90%;44.44%;Q;VP;Q;22;84.62%;Q;Yes for intended;Yes for text;No for audio;Q
Laser;Q;1;CR;90%;44.44%;Q;VP;C;1;3.85%;Q;Yes for intended;Yes for text;No for audio;Q
Chess;Q;1;CR;90%;33%;Q;NEG;V;1;3.57%;Q;Yes for intended;Yes for text;No for audio;Q
Chess;Q;1;CR;90%;33%;Q;NEG;Q;24;85.71%;Q;Yes for intended;Yes for text;No for audio;Q
Chess;Q;1;CR;90%;33%;Q;NEG;C;3;10.71%;Q;Yes for intended;Yes for text;No for audio;Q
Requirements;Q;1;CR;100%;43%;Q;N;V;4;15.38%;Q;Yes for intended;Yes for text;No for audio;Q
Requirements;Q;1;CR;100%;43%;Q;N;Q;22;84.62%;Q;Yes for intended;Yes for text;No for audio;Q
Requirements;Q;1;CR;100%;43%;Q;N;C;0;0.00%;Q;Yes for intended;Yes for text;No for audio;Q
Consequences;Q;1;CR;75%;75%;Q;Q;V;7;30.43%;Q;Yes for intended;Yes for text;Yes for audio;Q-Amb
Consequences;Q;1;CR;75%;75%;Q;Q;Q;16;69.57%;Q;Yes for intended;Yes for text;Yes for audio;Q-Amb
Consequences;Q;1;CR;75%;75%;Q;Q;C;0;0.00%;Q;Yes for intended;Yes for text;Yes for audio;Q-Amb
Nuances;Q;1;CR;75%;63%;Q;Q;V;12;42.86%;Q;Yes for intended;Yes for text;Yes for audio;Q-Amb
Nuances;Q;1;CR;75%;63%;Q;Q;Q;16;57.14%;Q;Yes for intended;Yes for text;Yes for audio;Q-Amb
Nuances;Q;1;CR;75%;63%;Q;Q;C;0;0.00%;Q;Yes for intended;Yes for text;Yes for audio;Q-Amb
Activity;Q;2;CR;95%;37.50%;Q;N;V;3;10.00%;Q;Yes for intended;Yes for text;No for audio;Q
Activity;Q;2;CR;95%;37.50%;Q;N;Q;27;90.00%;Q;Yes for intended;Yes for text;No for audio;Q
Activity;Q;2;CR;95%;37.50%;Q;N;C;0;0.00%;Q;Yes for intended;Yes for text;No for audio;Q
Examples;Q;2;CR;95%;33%;Q;V;V;6;20.00%;Q;Yes for intended;Yes for text;No for audio;Q
Examples;Q;2;CR;95%;33%;Q;V;Q;23;76.67%;Q;Yes for intended;Yes for text;No for audio;Q
Examples;Q;2;CR;95%;33%;Q;V;C;1;3.33%;Q;Yes for intended;Yes for text;No for audio;Q
Laser;Q;2;CR;90%;75.00%;Q;QN;V;2;7.69%;Q;Yes for intended;Yes for text;No for audio;Q
Laser;Q;2;CR;90%;75.00%;Q;QN;Q;24;92.31%;Q;Yes for intended;Yes for text;No for audio;Q
Laser;Q;2;CR;90%;75.00%;Q;QN;C;0;0.00%;Q;Yes for intended;Yes for text;No for audio;Q
Chess;Q;2;CR;90%;57.14%;Q;Q;V;2;8.33%;Q;Yes for intended;Yes for text;Yes for audio;Q
Chess;Q;2;CR;90%;57.14%;Q;Q;Q;21;87.50%;Q;Yes for intended;Yes for text;Yes for audio;Q
Chess;Q;2;CR;90%;57.14%;Q;Q;C;1;4.17%;Q;Yes for intended;Yes for text;Yes for audio;Q
Requirements;Q;2;CR;100%;100.00%;Q;Q;V;6;22.22%;Q;Yes for intended;Yes for text;Yes for audio;Q
Requirements;Q;2;CR;100%;100.00%;Q;Q;Q;21;77.78%;Q;Yes for intended;Yes for text;Yes for audio;Q
Requirements;Q;2;CR;100%;100.00%;Q;Q;C;0;0.00%;Q;Yes for intended;Yes for text;Yes for audio;Q
Consequences;Q;2;CR;75%;75.00%;Q;Q;V;6;20.00%;Q;Yes for intended;Yes for text;Yes for audio;Q-Amb
Consequences;Q;2;CR;75%;75.00%;Q;Q;Q;23;76.67%;Q;Yes for intended;Yes for text;Yes for audio;Q-Amb
Consequences;Q;2;CR;75%;75.00%;Q;Q;C;1;3.33%;Q;Yes for intended;Yes for text;Yes for audio;Q-Amb
Nuances;Q;2;CR;75%;62.50%;Q;Q;V;8;32.00%;Q;Yes for intended;Yes for text;Yes for audio;Q-Amb
Nuances;Q;2;CR;75%;62.50%;Q;Q;Q;16;64.00%;Q;Yes for intended;Yes for text;Yes for audio;Q-Amb
Nuances;Q;2;CR;75%;62.50%;Q;Q;C;1;4.00%;Q;Yes for intended;Yes for text;Yes for audio;Q-Amb
Activity;Q;1;WR;95%;42.85%;Q;N;V;6;23.08%;Q;Yes for intended;Yes for text;No for audio;Q
Activity;Q;1;WR;95%;42.85%;Q;N;Q;20;76.92%;Q;Yes for intended;Yes for text;No for audio;Q
